packet_size,flow_id,protocol,source,destination,tx_bytes,rx_bytes,tx_packets,rx_packets,lost_packets,mean_delay_s,throughput_bps
128,1,UDP,10.1.1.1:49153,10.1.1.2:9,156,156,1,1,0,0.0022528,69.33333333333333
128,2,UDP,10.1.1.2:9,10.1.1.1:49153,156,156,1,1,0,0.0022528,69.33333333333333
256,1,UDP,10.1.1.1:49153,10.1.1.2:9,284,284,1,1,0,0.0024576,126.22222222222223
256,2,UDP,10.1.1.2:9,10.1.1.1:49153,284,284,1,1,0,0.0024576,126.22222222222223
512,1,UDP,10.1.1.1:49153,10.1.1.2:9,540,540,1,1,0,0.0028672,240.0
512,2,UDP,10.1.1.2:9,10.1.1.1:49153,540,540,1,1,0,0.0028672,240.0
1024,1,UDP,10.1.1.1:49153,10.1.1.2:9,1052,1052,1,1,0,0.0036864,467.55555555555554
1024,2,UDP,10.1.1.2:9,10.1.1.1:49153,1052,1052,1,1,0,0.0036864,467.55555555555554
2048,1,UDP,10.1.1.1:49153,10.1.1.2:9,2076,2076,1,1,0,0.00536,922.6666666666666
2048,2,UDP,10.1.1.2:9,10.1.1.1:49153,2076,2076,1,1,0,0.00536,922.6666666666666
